# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-02T00:00:00.0
# Latitude (positive North, ISO 19115): 41.9650
# Longitude (positive East, ISO 19115): 12.7954
# Altitude (m): 166.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2021-10-02
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-01-02T00:00:00.0/2020-01-02T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T01:00:00.0/2020-01-02T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T02:00:00.0/2020-01-02T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T03:00:00.0/2020-01-02T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T04:00:00.0/2020-01-02T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T05:00:00.0/2020-01-02T06:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T06:00:00.0/2020-01-02T07:00:00.0;10.2650;3.6025;1.2686;2.3339;33.2400;2.2067;0.0520;2.1546;1.1395;1.0000
2020-01-02T07:00:00.0/2020-01-02T08:00:00.0;175.4536;100.0642;67.5006;32.5636;502.2021;88.7627;60.0695;28.6932;428.8088;1.0000
2020-01-02T08:00:00.0/2020-01-02T09:00:00.0;362.3268;247.4790;194.3138;53.1652;749.5842;229.1315;188.1847;40.9468;725.5599;1.0000
2020-01-02T09:00:00.0/2020-01-02T10:00:00.0;499.5343;360.0556;290.5773;69.4783;818.8023;339.5648;284.4384;55.1264;801.3044;1.0000
2020-01-02T10:00:00.0/2020-01-02T11:00:00.0;577.7296;419.3372;331.5080;87.8293;807.9953;398.8196;327.5770;71.2427;798.3735;1.0000
2020-01-02T11:00:00.0/2020-01-02T12:00:00.0;591.5854;422.9101;322.7748;100.1353;767.9685;403.0550;321.0321;82.0229;763.8405;1.0000
2020-01-02T12:00:00.0/2020-01-02T13:00:00.0;540.1581;373.1624;272.1729;100.9895;708.5534;354.1229;271.0237;83.0993;705.4921;1.0000
2020-01-02T13:00:00.0/2020-01-02T14:00:00.0;426.9515;275.4920;187.2145;88.2775;613.6441;257.5656;183.9744;73.5913;602.5856;1.0000
2020-01-02T14:00:00.0/2020-01-02T15:00:00.0;259.6783;141.9883;80.5165;61.4717;420.0725;128.3833;73.5220;54.8613;378.6322;1.0000
2020-01-02T15:00:00.0/2020-01-02T16:00:00.0;58.8967;22.0781;7.2429;14.8352;89.4516;17.7529;3.0433;14.7096;31.0103;1.0000
2020-01-02T16:00:00.0/2020-01-02T17:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T17:00:00.0/2020-01-02T18:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T18:00:00.0/2020-01-02T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T19:00:00.0/2020-01-02T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T20:00:00.0/2020-01-02T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T21:00:00.0/2020-01-02T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T22:00:00.0/2020-01-02T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-02T23:00:00.0/2020-01-03T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-01-03T00:00:00.0/2020-01-03T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
