# Coding: utf-8
# File format version: 2
# Title: CAMS Radiation Service v4.0 all-sky irradiation (derived from satellite data).
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level.
#           Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (Meteosat Second Generation satellite coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-radiation-service
# Date begin (ISO 8601): 2020-01-01T00:00:00.0
# Date end (ISO 8601): 2021-01-02T00:00:00.0
# Latitude (positive North, ISO 19115): 41.9650
# Longitude (positive East, ISO 19115): 12.7954
# Altitude (m): 166.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 1 h 0 min 0 s
# noValue: nan
# File generated on: 2021-10-02
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
# 7. GHI. Global irradiation on horizontal plane at ground level (Wh/m2)
# 8. BHI. Beam irradiation on horizontal plane at ground level (Wh/m2)
# 9. DHI. Diffuse irradiation on horizontal plane at ground level (Wh/m2)
#10. BNI. Beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#11. Reliability. Proportion of reliable data in the summarization (0-1)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI;GHI;BHI;DHI;BNI;Reliability
2020-03-07T06:00:00.0/2020-03-07T07:00:00.0;226.2539;128.7789;81.5581;47.2208;461.7614;115.9814;74.6346;41.3467;410.2929;1.0000
2020-03-07T07:00:00.0/2020-03-07T08:00:00.0;468.1609;322.2549;245.2909;76.9640;718.3947;303.4832;240.7563;62.7269;704.6442;1.0000
2020-03-07T08:00:00.0/2020-03-07T09:00:00.0;672.5947;498.3646;405.2178;93.1468;831.6242;475.9350;396.5395;79.3955;814.5035;1.0000
2020-03-07T09:00:00.0/2020-03-07T10:00:00.0;825.6332;631.7121;523.7816;107.9305;877.3001;574.9047;446.0865;128.8181;751.1399;1.0000
2020-03-07T10:00:00.0/2020-03-07T11:00:00.0;916.8578;710.0033;586.3168;123.6865;884.5598;450.9874;158.8411;292.1462;242.2615;1.0000
2020-03-07T11:00:00.0/2020-03-07T12:00:00.0;940.0649;727.6732;591.8438;135.8294;870.7946;196.5249;0.0000;196.5249;0.0000;1.0000
2020-03-07T12:00:00.0/2020-03-07T13:00:00.0;893.6892;683.4412;543.2565;140.1848;840.5114;186.8964;0.0000;186.8964;0.0000;1.0000
2020-03-07T13:00:00.0/2020-03-07T14:00:00.0;780.9109;580.6980;445.4327;135.2652;787.8521;313.5728;103.4378;210.1350;192.4925;1.0000
2020-03-07T14:00:00.0/2020-03-07T15:00:00.0;609.4381;427.7985;306.4847;121.3138;692.1478;268.2358;82.6007;185.6351;175.8301;1.0000
2020-03-07T15:00:00.0/2020-03-07T16:00:00.0;390.9814;242.6458;151.6779;90.9679;525.4338;191.3845;97.0900;94.2945;348.5581;1.0000
2020-03-07T16:00:00.0/2020-03-07T17:00:00.0;140.4539;64.1150;27.5712;36.5438;205.8027;38.3274;4.4227;33.9046;25.2261;1.0000
2020-03-07T17:00:00.0/2020-03-07T18:00:00.0;0.1080;0.0225;0.0003;0.0222;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-07T18:00:00.0/2020-03-07T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-07T19:00:00.0/2020-03-07T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-07T20:00:00.0/2020-03-07T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-07T21:00:00.0/2020-03-07T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-07T22:00:00.0/2020-03-07T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-07T23:00:00.0/2020-03-08T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T00:00:00.0/2020-03-08T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T01:00:00.0/2020-03-08T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T02:00:00.0/2020-03-08T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T03:00:00.0/2020-03-08T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T04:00:00.0/2020-03-08T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T05:00:00.0/2020-03-08T06:00:00.0;20.4352;7.4368;2.8302;4.6067;51.8616;5.3337;0.7234;4.6102;10.8425;1.0000
2020-03-08T06:00:00.0/2020-03-08T07:00:00.0;233.6309;136.2574;92.5575;43.6999;513.5209;122.9560;84.9010;38.0550;460.0461;1.0000
2020-03-08T07:00:00.0/2020-03-08T08:00:00.0;475.4344;331.7826;262.4566;69.3260;757.2945;312.6435;256.0462;56.5973;738.3475;1.0000
2020-03-08T08:00:00.0/2020-03-08T09:00:00.0;679.6979;509.2924;426.0217;83.2707;864.9083;488.2163;418.1046;70.1117;848.8390;1.0000
2020-03-08T09:00:00.0/2020-03-08T10:00:00.0;832.5109;642.9776;548.7213;94.2563;910.9850;621.7572;539.5138;82.2434;895.6993;1.0000
2020-03-08T10:00:00.0/2020-03-08T11:00:00.0;923.4705;720.0765;615.2595;104.8169;921.0897;585.5026;373.0424;212.4602;561.7165;1.0000
2020-03-08T11:00:00.0/2020-03-08T12:00:00.0;946.3913;736.2338;624.3745;111.8593;912.0579;508.0602;218.0186;290.0416;318.0911;1.0000
2020-03-08T12:00:00.0/2020-03-08T13:00:00.0;899.7279;692.2558;579.8441;112.4117;890.7509;416.1400;108.1671;307.9728;167.4990;1.0000
2020-03-08T13:00:00.0/2020-03-08T14:00:00.0;786.6805;591.5908;485.5093;106.0815;852.3516;431.0997;206.4622;224.6375;365.9720;1.0000
2020-03-08T14:00:00.0/2020-03-08T15:00:00.0;614.9759;440.7210;346.6727;94.0483;776.5228;326.0270;159.6594;166.3677;353.1958;1.0000
2020-03-08T15:00:00.0/2020-03-08T16:00:00.0;396.3408;256.2216;184.0551;72.1665;631.9244;181.6438;71.3786;110.2652;251.3555;1.0000
2020-03-08T16:00:00.0/2020-03-08T17:00:00.0;145.7009;71.8289;39.4375;32.3914;296.6082;48.0124;9.9104;38.1020;61.2801;1.0000
2020-03-08T17:00:00.0/2020-03-08T18:00:00.0;0.3620;0.0813;0.0040;0.0773;0.0000;0.0048;0.0000;0.0048;0.0000;1.0000
2020-03-08T18:00:00.0/2020-03-08T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T19:00:00.0/2020-03-08T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T20:00:00.0/2020-03-08T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T21:00:00.0/2020-03-08T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T22:00:00.0/2020-03-08T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-08T23:00:00.0/2020-03-09T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T00:00:00.0/2020-03-09T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T01:00:00.0/2020-03-09T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T02:00:00.0/2020-03-09T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T03:00:00.0/2020-03-09T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T04:00:00.0/2020-03-09T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T05:00:00.0/2020-03-09T06:00:00.0;23.4597;8.5315;2.9930;5.5385;51.8421;3.7121;0.0000;3.7121;0.0000;1.0000
2020-03-09T06:00:00.0/2020-03-09T07:00:00.0;241.0317;137.6606;87.5925;50.0681;472.0174;58.4632;5.8235;52.6397;23.2135;1.0000
2020-03-09T07:00:00.0/2020-03-09T08:00:00.0;482.7161;328.7645;243.7229;85.0416;692.5157;258.2017;144.2374;113.9643;398.5633;1.0000
2020-03-09T08:00:00.0/2020-03-09T09:00:00.0;686.7941;501.6202;391.0880;110.5322;785.5276;472.9989;374.3326;98.6663;748.3010;1.0000
2020-03-09T09:00:00.0/2020-03-09T10:00:00.0;839.3679;633.3141;502.3595;130.9547;826.7243;614.5543;504.9537;109.6005;830.9140;1.0000
2020-03-09T10:00:00.0/2020-03-09T11:00:00.0;930.0510;711.1311;563.6954;147.4357;837.4965;693.7112;571.0882;122.6230;848.4468;1.0000
2020-03-09T11:00:00.0/2020-03-09T12:00:00.0;952.6772;728.0453;569.2279;158.8174;825.5836;711.3749;580.2224;131.1525;841.5333;1.0000
2020-03-09T12:00:00.0/2020-03-09T13:00:00.0;905.7216;682.8131;521.3527;161.4604;795.0527;644.8222;483.8717;160.9505;735.6937;1.0000
2020-03-09T13:00:00.0/2020-03-09T14:00:00.0;792.4044;579.0104;424.3765;154.6339;738.8475;488.1565;278.8202;209.3363;487.7264;1.0000
2020-03-09T14:00:00.0/2020-03-09T15:00:00.0;620.4713;425.5650;288.7230;136.8420;639.5032;236.5372;49.3208;187.2164;98.9383;1.0000
2020-03-09T15:00:00.0/2020-03-09T16:00:00.0;401.6650;241.8687;141.4808;100.3878;476.4416;99.5273;0.0000;99.5273;0.0000;1.0000
2020-03-09T16:00:00.0/2020-03-09T17:00:00.0;150.9232;66.6632;26.2656;40.3975;187.1565;38.7218;0.0628;38.6590;0.5118;1.0000
2020-03-09T17:00:00.0/2020-03-09T18:00:00.0;0.6805;0.1453;0.0023;0.1429;0.0000;0.0179;0.0000;0.0179;0.0000;1.0000
2020-03-09T18:00:00.0/2020-03-09T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T19:00:00.0/2020-03-09T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T20:00:00.0/2020-03-09T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T21:00:00.0/2020-03-09T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T22:00:00.0/2020-03-09T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-09T23:00:00.0/2020-03-10T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T00:00:00.0/2020-03-10T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T01:00:00.0/2020-03-10T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T02:00:00.0/2020-03-10T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T03:00:00.0/2020-03-10T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T04:00:00.0/2020-03-10T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T05:00:00.0/2020-03-10T06:00:00.0;26.6725;9.6652;3.4191;6.2462;56.0632;7.3378;1.0320;6.3057;13.6391;1.0000
2020-03-10T06:00:00.0/2020-03-10T07:00:00.0;248.4524;142.5066;91.4019;51.1047;477.6410;129.1731;84.4842;44.6888;432.5112;1.0000
2020-03-10T07:00:00.0/2020-03-10T08:00:00.0;490.0024;338.2523;256.4556;81.7967;717.0056;319.4840;252.4232;67.0608;705.2556;1.0000
2020-03-10T08:00:00.0/2020-03-10T09:00:00.0;693.8799;516.0748;416.5747;99.5001;827.4957;495.5602;412.9057;82.6545;820.2155;1.0000
2020-03-10T09:00:00.0/2020-03-10T10:00:00.0;846.2010;648.3519;531.9172;116.4347;868.0566;628.3577;529.8135;98.5442;864.5238;1.0000
2020-03-10T10:00:00.0/2020-03-10T11:00:00.0;936.5966;722.4288;586.1479;136.2808;864.3864;693.1646;565.3420;127.8226;833.7668;1.0000
2020-03-10T11:00:00.0/2020-03-10T12:00:00.0;958.9204;735.6878;583.1832;152.5046;839.8661;672.4008;482.4396;189.9612;694.4725;1.0000
2020-03-10T12:00:00.0/2020-03-10T13:00:00.0;911.6683;689.6183;534.6081;155.0102;809.6298;569.5402;306.6349;262.9053;462.4153;1.0000
2020-03-10T13:00:00.0/2020-03-10T14:00:00.0;798.0812;587.4593;444.2233;143.2360;767.7925;452.1235;188.0045;264.1190;327.9610;1.0000
2020-03-10T14:00:00.0/2020-03-10T15:00:00.0;625.9236;435.8600;312.4528;123.4072;686.4825;366.6609;213.6270;153.0339;474.2395;1.0000
2020-03-10T15:00:00.0/2020-03-10T16:00:00.0;406.9537;252.0022;160.8261;91.1762;535.7840;227.0464;144.7165;82.3300;481.5482;1.0000
2020-03-10T16:00:00.0/2020-03-10T17:00:00.0;156.1207;72.1482;32.8828;39.2654;232.8759;61.2628;23.2490;38.0138;146.0763;1.0000
2020-03-10T17:00:00.0/2020-03-10T18:00:00.0;1.0964;0.2446;0.0056;0.2390;0.0000;0.0552;0.0000;0.0552;0.0000;1.0000
2020-03-10T18:00:00.0/2020-03-10T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T19:00:00.0/2020-03-10T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T20:00:00.0/2020-03-10T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T21:00:00.0/2020-03-10T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T22:00:00.0/2020-03-10T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-10T23:00:00.0/2020-03-11T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T00:00:00.0/2020-03-11T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T01:00:00.0/2020-03-11T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T02:00:00.0/2020-03-11T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T03:00:00.0/2020-03-11T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T04:00:00.0/2020-03-11T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T05:00:00.0/2020-03-11T06:00:00.0;30.1474;9.4345;1.7675;7.6670;26.3022;7.1842;0.1066;7.0776;1.2143;1.0000
2020-03-11T06:00:00.0/2020-03-11T07:00:00.0;255.8892;129.6490;62.8176;66.8313;312.0400;118.0816;56.4770;61.6046;271.2042;1.0000
2020-03-11T07:00:00.0/2020-03-11T08:00:00.0;497.2894;316.6191;203.0627;113.5564;557.0278;300.3086;203.6755;96.6330;558.0203;1.0000
2020-03-11T08:00:00.0/2020-03-11T09:00:00.0;700.9518;491.2701;351.6196;139.6505;690.3558;474.4226;357.8698;116.5529;702.5161;1.0000
2020-03-11T09:00:00.0/2020-03-11T10:00:00.0;853.0071;630.1232;485.5366;144.5867;784.5836;613.5212;491.9710;121.5502;795.1099;1.0000
2020-03-11T10:00:00.0/2020-03-11T11:00:00.0;943.1047;719.5793;589.7874;129.7919;862.9058;702.9695;591.6002;111.3693;865.5988;1.0000
2020-03-11T11:00:00.0/2020-03-11T12:00:00.0;965.1187;748.7010;640.8166;107.8844;916.5522;731.2475;635.5510;95.6966;909.0026;1.0000
2020-03-11T12:00:00.0/2020-03-11T13:00:00.0;917.5666;711.0964;616.2870;94.8094;926.8754;691.9465;606.3826;85.5640;911.9813;1.0000
2020-03-11T13:00:00.0/2020-03-11T14:00:00.0;803.7100;610.0751;517.5031;92.5720;887.9437;589.7910;508.0186;81.7724;871.6387;1.0000
2020-03-11T14:00:00.0/2020-03-11T15:00:00.0;631.3321;459.1473;373.9677;85.1797;815.0187;438.8423;366.3889;72.4534;798.4052;1.0000
2020-03-11T15:00:00.0/2020-03-11T16:00:00.0;412.2064;273.6948;205.5758;68.1189;679.3705;255.1948;198.2173;56.9775;653.7769;1.0000
2020-03-11T16:00:00.0/2020-03-11T17:00:00.0;161.2932;84.2736;50.3650;33.9085;363.1983;73.0634;41.4399;31.6235;269.6246;1.0000
2020-03-11T17:00:00.0/2020-03-11T18:00:00.0;1.6088;0.4109;0.0400;0.3709;0.0000;0.1388;0.0000;0.1388;0.0000;1.0000
2020-03-11T18:00:00.0/2020-03-11T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T19:00:00.0/2020-03-11T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T20:00:00.0/2020-03-11T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T21:00:00.0/2020-03-11T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T22:00:00.0/2020-03-11T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-11T23:00:00.0/2020-03-12T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T00:00:00.0/2020-03-12T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T01:00:00.0/2020-03-12T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T02:00:00.0/2020-03-12T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T03:00:00.0/2020-03-12T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T04:00:00.0/2020-03-12T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T05:00:00.0/2020-03-12T06:00:00.0;33.8371;13.2090;5.2870;7.9220;77.4065;10.2532;2.3165;7.9367;28.2273;1.0000
2020-03-12T06:00:00.0/2020-03-12T07:00:00.0;263.3380;155.2653;104.5237;50.7416;520.7988;141.2226;97.3799;43.8427;478.2914;1.0000
2020-03-12T07:00:00.0/2020-03-12T08:00:00.0;504.5734;350.0204;273.0429;76.9775;741.4185;331.2215;267.1989;64.0226;725.1641;1.0000
2020-03-12T08:00:00.0/2020-03-12T09:00:00.0;708.0062;525.0313;433.0893;91.9420;842.4543;504.9949;426.4785;78.5164;829.5739;1.0000
2020-03-12T09:00:00.0/2020-03-12T10:00:00.0;859.7831;657.9852;556.5803;101.4049;892.7244;638.6982;549.7927;88.9054;881.7839;1.0000
2020-03-12T10:00:00.0/2020-03-12T11:00:00.0;949.5726;736.7222;629.1623;107.5599;914.0463;718.8030;623.9882;94.8148;906.5173;1.0000
2020-03-12T11:00:00.0/2020-03-12T12:00:00.0;971.2700;755.0919;644.6253;110.4666;915.6155;737.6894;640.1222;97.5672;909.2181;1.0000
2020-03-12T12:00:00.0/2020-03-12T13:00:00.0;923.4148;710.5714;596.3885;114.1828;890.6722;690.3859;587.6989;102.6871;877.4052;1.0000
2020-03-12T13:00:00.0/2020-03-12T14:00:00.0;809.2895;606.6157;490.0016;116.6140;834.1788;546.8845;388.3197;158.5647;658.2682;1.0000
2020-03-12T14:00:00.0/2020-03-12T15:00:00.0;636.6960;452.7554;342.2617;110.4937;738.3418;289.9049;77.4876;212.4174;153.8321;1.0000
2020-03-12T15:00:00.0/2020-03-12T16:00:00.0;417.4228;264.4504;173.9709;90.4795;563.6146;166.4419;25.2809;141.1610;95.4416;1.0000
2020-03-12T16:00:00.0/2020-03-12T17:00:00.0;166.4405;78.4367;34.8016;43.6351;233.3788;63.6131;19.5952;44.0179;123.1295;1.0000
2020-03-12T17:00:00.0/2020-03-12T18:00:00.0;2.2168;0.5285;0.0168;0.5116;0.5528;0.1765;0.0000;0.1765;0.0000;1.0000
2020-03-12T18:00:00.0/2020-03-12T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T19:00:00.0/2020-03-12T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T20:00:00.0/2020-03-12T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T21:00:00.0/2020-03-12T22:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T22:00:00.0/2020-03-12T23:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-12T23:00:00.0/2020-03-13T00:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-13T00:00:00.0/2020-03-13T01:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-13T01:00:00.0/2020-03-13T02:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-13T02:00:00.0/2020-03-13T03:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-13T03:00:00.0/2020-03-13T04:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-13T04:00:00.0/2020-03-13T05:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-13T05:00:00.0/2020-03-13T06:00:00.0;37.7131;12.7504;2.7556;9.9948;37.2332;9.9537;0.5302;9.4235;5.6639;1.0000
2020-03-13T06:00:00.0/2020-03-13T07:00:00.0;270.7951;143.0626;70.9697;72.0929;336.9156;123.2407;51.8814;71.3593;243.4420;1.0000
2020-03-13T07:00:00.0/2020-03-13T08:00:00.0;511.8506;333.3840;214.8406;118.5434;572.5768;275.0805;132.0534;143.0271;358.6590;1.0000
2020-03-13T08:00:00.0/2020-03-13T09:00:00.0;715.0399;509.1337;364.9493;144.1843;701.7963;396.8163;162.8084;234.0079;311.6669;1.0000
2020-03-13T09:00:00.0/2020-03-13T10:00:00.0;866.5261;641.4420;479.2835;162.1585;762.3474;500.1800;231.4995;268.6805;369.2204;1.0000
2020-03-13T10:00:00.0/2020-03-13T11:00:00.0;955.9978;717.1844;539.1789;178.0056;777.6721;648.4938;454.5931;193.9006;653.7963;1.0000
2020-03-13T11:00:00.0/2020-03-13T12:00:00.0;977.3723;732.2858;544.7384;187.5474;768.4797;706.4506;538.3647;168.0858;759.6083;1.0000
2020-03-13T12:00:00.0/2020-03-13T13:00:00.0;929.2113;686.3225;498.1461;188.1765;738.8924;561.2985;336.3050;224.9936;493.3335;1.0000
2020-03-13T13:00:00.0/2020-03-13T14:00:00.0;814.8186;582.9626;404.7723;178.1902;683.8456;380.7163;108.2056;272.5107;183.8758;1.0000
2020-03-13T14:00:00.0/2020-03-13T15:00:00.0;642.0146;430.5507;274.6229;155.9278;586.5297;191.7958;12.0209;179.7750;23.1390;1.0000
2020-03-13T15:00:00.0/2020-03-13T16:00:00.0;422.6026;247.2617;131.9189;115.3428;420.3573;103.8118;0.0000;103.8118;0.0000;1.0000
2020-03-13T16:00:00.0/2020-03-13T17:00:00.0;171.5626;73.1041;24.2353;48.8688;156.9622;41.0768;0.0000;41.0768;0.0000;1.0000
2020-03-13T17:00:00.0/2020-03-13T18:00:00.0;2.9194;0.6712;0.0216;0.6497;0.6739;0.1784;0.0000;0.1784;0.0000;1.0000
2020-03-13T18:00:00.0/2020-03-13T19:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-13T19:00:00.0/2020-03-13T20:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
2020-03-13T20:00:00.0/2020-03-13T21:00:00.0;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000
